Inf,Name,Position,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Konstantin Gerhardt,DM/ M/AM (C),18,6,4,10,13,12,1,7,8,1,3,11,6,8,10,13,9,8,8,8,9,15,12,8,11,8,11,6,13,9,13,13,8,12,13,12,3,86,115
,Joshua Uwakhonye,D (RL)/ WB (L),17,11,10,11,7,11,12,7,8,12,10,11,9,11,11,15,7,9,8,7,7,12,12,4,11,10,11,10,12,13,11,9,9,14,13,12,11,89,113
,Echu,M (RL)/ AM (RLC)/ ST (C),25,13,11,11,11,11,13,7,11,5,10,10,4,8,12,11,10,11,7,9,7,1,10,7,12,9,7,9,10,11,11,8,6,14,11,10,5,93,120
FrA,Juanma,D (C),40,7,9,4,7,9,9,15,10,7,12,11,8,12,9,9,8,11,12,12,12,11,9,14,6,13,11,9,11,6,7,8,11,10,6,8,9,80,123
,Timmy Thiele,AM (RL)/ ST (C),31,5,6,11,13,12,7,8,9,5,3,10,10,8,11,8,11,15,7,10,10,9,10,10,14,6,13,10,13,15,11,10,12,14,14,13,14,98,105
FrA,Ben Lundgaard,GK,27,2,2,2,1,2,4,1,1,1,2,9,3,3,6,5,9,15,7,5,13,12,3,8,3,10,7,4,6,10,14,7,13,14,11,2,13,86,100
,Scott Kashket,ST (C),27,6,8,10,11,11,6,5,7,2,4,8,13,6,9,8,10,9,9,8,9,10,10,3,11,6,14,8,16,15,14,13,5,15,14,12,5,84,105
,Jesús Sillero,AM (RL)/ ST (C),27,7,10,13,11,13,7,7,8,7,6,9,5,6,11,9,10,2,9,7,13,2,11,12,11,7,8,11,9,13,13,8,7,10,13,12,5,93,120
,Liam Burt,AM (RLC),24,4,11,12,12,14,9,7,13,2,3,12,10,4,12,11,8,9,12,8,9,12,13,5,10,6,11,13,11,13,12,12,7,12,12,11,7,95,98
Wnt,Felix Hagmann,D/WB/M/AM (R),19,7,12,12,6,12,3,6,8,1,9,11,5,12,13,11,8,9,10,10,14,9,12,11,7,9,13,9,13,14,14,9,7,13,14,7,7,98,132
,Salim Fago Lawal,ST (C),20,9,7,10,9,9,9,13,10,4,8,10,8,3,8,11,15,8,10,9,10,14,9,6,10,5,9,5,10,13,11,10,13,12,17,8,10,93,118
,Capa,D (RC)/ WB (R),24,6,11,8,5,7,1,11,5,6,11,8,5,12,6,15,10,10,9,13,14,15,5,11,8,11,8,7,9,14,14,9,10,9,14,9,7,93,111
,Sebastian Hertner,D (LC)/ WB/M (L),32,8,11,11,6,11,8,14,6,12,10,12,3,13,13,12,9,12,9,9,9,12,4,13,10,12,13,10,13,11,11,14,11,11,11,11,13,98,100
,Facundo Ackermann,GK,29,6,1,3,3,1,7,1,1,3,3,13,1,1,4,7,9,8,5,9,13,4,3,13,3,9,8,7,7,11,14,8,13,14,13,5,9,93,103
,Tolaji Bola,D (LC)/ WB (L),24,4,10,8,5,10,5,11,7,7,9,9,4,11,9,10,10,12,12,9,8,9,6,10,7,10,14,7,13,14,13,11,14,13,15,13,11,97,126
,Jaime Calleja,D (LC),20,4,9,2,7,12,1,14,8,6,12,13,3,11,5,13,12,10,9,13,14,14,5,15,8,9,8,5,9,13,11,9,12,17,10,8,12,93,121
Wnt,Matt Penney,D/WB/M (L),25,12,13,13,9,10,13,10,11,9,9,12,10,12,12,9,11,8,10,9,10,13,12,10,12,8,12,13,12,10,10,10,11,14,12,16,12,104,121
,Néstor,D (C)/ DM,20,4,7,5,5,11,7,9,5,7,11,12,1,13,7,9,11,9,8,9,13,14,5,14,6,13,8,9,13,11,13,3,7,11,12,9,11,93,121
,Álvaro Santamaría,ST (C),21,7,5,11,12,11,7,9,6,4,7,13,8,5,9,9,9,8,13,7,5,11,8,5,12,8,8,7,12,14,11,14,9,13,13,7,4,83,108
,Maximilian Oesterhelweg,M (R)/ AM (RL)/ ST (C),32,12,13,14,10,12,12,5,12,4,5,12,10,5,12,7,10,9,10,10,11,7,14,7,14,6,12,14,9,14,13,6,8,10,11,10,6,98,100
Yth,Julius Gottschalk,M/AM (C),16,7,5,9,12,14,5,7,7,5,7,14,3,5,14,13,7,4,6,6,13,11,13,2,12,9,8,12,13,13,14,8,8,11,14,8,6,88,127
Loa,Noah Kardam,D/WB/M (L),18,9,13,10,5,10,8,8,3,6,8,9,8,10,13,9,8,9,8,5,10,6,10,5,9,10,9,7,10,13,12,5,13,15,12,15,7,86,118
Loa,Jaime Sherwood,D (C),17,3,1,1,5,7,1,13,3,1,13,5,6,9,6,12,8,9,2,9,13,11,5,9,2,12,6,6,7,13,11,7,8,16,13,9,8,86,116
Yth,Mika Khadr,D (C),17,4,5,1,5,8,2,12,4,1,14,8,3,11,7,8,7,9,5,6,14,8,5,11,5,14,7,7,8,14,9,8,8,13,12,5,6,86,116
Yth,Mertcan Ayhan,D (C),16,5,2,2,2,8,5,15,8,2,7,8,1,11,4,13,14,9,6,7,14,11,7,6,5,15,8,4,9,13,12,8,13,12,12,5,10,86,124
Loa,Kevin Lebersorger,D (R),18,6,15,7,2,9,3,9,4,2,9,10,5,12,10,8,9,10,8,9,15,11,5,9,7,8,9,9,9,13,13,9,4,12,12,11,7,86,106
,Rafa Salama,DM/ M (C),26,7,4,6,5,13,7,7,11,2,11,11,2,13,10,9,6,9,8,9,13,16,5,9,9,10,8,13,12,13,13,8,11,13,13,13,7,93,112
Loa,Ferdinand Gebert,GK,17,3,3,1,1,5,6,1,3,3,2,8,3,1,1,6,4,15,6,11,13,11,3,7,3,8,7,6,6,12,14,7,13,16,12,3,4,87,138
Yth,Maximilian Herwerth,ST (C),17,7,8,13,14,5,7,13,7,3,6,7,4,4,10,10,11,3,12,7,12,14,12,9,12,4,6,7,8,12,12,8,14,14,13,5,11,87,136
,Ulrich Bapoh,AM (LC)/ ST (C),24,9,11,12,11,12,10,9,12,5,8,11,8,8,12,7,11,10,10,11,11,6,9,11,11,11,12,12,11,9,12,10,8,10,12,11,13,98,109
,Raphael Adiele,D (C),18,2,6,7,5,9,3,12,6,8,11,11,6,11,9,10,9,11,8,11,8,13,7,8,7,12,11,9,11,9,8,12,16,15,11,11,12,83,124
Inj,Felix Lange,D (C),19,2,8,10,6,11,2,12,6,8,12,12,6,12,11,12,9,12,10,10,10,10,8,8,8,12,12,10,11,11,11,12,13,10,12,11,12,93,117
,Víctor Olmedo,D/WB/M (R),24,9,11,11,9,10,8,9,8,11,11,10,8,12,11,9,11,10,10,11,12,12,5,11,11,11,11,10,13,12,11,9,10,13,12,12,10,93,115
,Lukas Demming,DM/ M (C),23,8,8,4,7,12,8,8,9,6,12,14,6,14,14,11,9,9,10,10,13,6,5,12,9,9,6,9,10,14,14,10,5,11,14,14,8,98,113
FrA,Francis Prospere,D (LC),16,3,6,7,5,6,3,5,1,5,9,6,1,12,10,8,6,17,8,8,8,6,4,9,5,9,16,3,13,5,5,3,10,12,5,8,12,32,69
FrA,Álex Pérez,ST (C),30,4,4,13,13,10,6,11,7,2,5,6,8,1,9,12,12,8,13,7,11,16,12,10,13,6,6,7,7,14,12,6,3,8,13,12,2,84,107
Wnt,Ander Yoldi,M (C)/ AM (LC),22,6,7,9,13,12,6,12,12,6,4,12,11,8,12,7,8,11,12,11,13,11,13,7,12,10,13,12,12,12,8,11,12,11,11,11,13,92,115
,Abel Suárez,DM/ M (C),32,7,8,10,10,9,9,9,10,12,12,10,10,12,10,11,12,13,12,13,11,8,10,12,11,12,13,8,14,11,10,10,12,10,10,13,13,92,114
,Matty Smith,AM (RL)/ ST (C),26,8,9,11,10,11,6,7,12,3,8,11,4,5,12,12,10,12,9,9,9,10,12,7,12,10,12,10,11,13,12,12,8,13,13,12,10,99,100
,Tobias Rühle,AM (R)/ ST (C),32,8,9,10,10,10,8,9,10,5,7,10,8,10,10,16,10,16,10,10,10,10,5,5,12,8,13,11,17,11,12,13,9,13,10,15,12,97,104
,Shilow Tracey,M (RL)/ AM (RLC)/ ST (C),25,8,9,10,9,9,6,7,8,9,4,10,9,7,10,8,9,12,7,8,7,12,10,7,10,7,12,7,13,13,12,11,8,13,13,11,10,92,120
,Niklas Wilson Sommer,D (RL)/ WB/M (R),25,7,9,12,6,10,7,8,6,15,9,10,8,12,10,16,9,12,9,8,8,11,11,8,11,9,12,9,13,14,12,11,10,11,15,13,11,97,106
,Dani Del Moral,M (L)/ AM (RL),27,8,11,10,8,7,7,5,8,2,7,8,5,6,11,12,7,7,7,8,9,6,11,13,11,7,8,8,12,13,13,8,7,12,13,13,5,92,108
,Álvaro Fernández,GK,23,5,1,2,1,3,9,1,2,3,2,12,2,3,1,8,10,15,8,13,13,18,1,13,3,12,8,7,7,11,11,8,6,9,10,2,6,92,121
,Mike Könnecke,DM/ M (C)/ AM (RC),34,10,9,12,10,13,9,9,8,8,8,12,9,7,11,12,13,14,11,12,10,11,11,8,10,11,12,12,12,12,11,11,8,11,11,10,9,97,108
,Ayoze,D (C),31,3,4,5,5,7,5,14,5,10,12,8,5,13,6,13,13,13,12,12,12,8,3,10,5,12,12,5,11,8,10,9,13,8,11,13,13,92,105
,Vicenç Sabater,GK,29,3,1,2,3,5,5,1,2,3,1,9,3,1,6,5,13,13,7,9,13,4,3,1,1,11,9,8,7,11,6,6,16,12,11,2,7,92,109
Inj,Sergi Pastells,D/WB (R),29,9,7,9,8,9,4,12,2,9,14,10,7,9,8,15,12,15,15,9,11,6,8,14,9,10,10,9,11,10,10,11,13,14,11,7,7,92,102
,Iñaki Olaortua,D (C),29,7,6,6,8,8,2,14,6,4,15,8,6,13,6,15,11,14,10,12,9,15,5,12,8,13,9,3,10,11,9,9,13,11,13,11,11,99,105
,Tafari Moore,D/WB (RL),25,6,9,9,6,9,6,8,6,10,8,10,3,9,9,12,7,11,9,7,7,11,5,6,9,8,11,7,12,12,11,8,9,15,11,11,8,71,120
,Fer Beltrán,M (C),31,8,6,9,8,13,10,9,10,8,12,14,6,12,13,11,12,7,12,11,14,12,5,11,12,10,6,12,11,12,12,10,11,9,13,10,8,92,106
,Joe Tomlinson,D/WB (RL),23,10,11,11,10,10,10,9,7,8,9,10,13,11,11,8,11,9,11,10,10,11,5,10,12,10,13,10,14,12,9,10,11,11,11,11,10,105,120
,Nacho,D (C),28,6,2,1,6,8,5,10,7,6,14,9,7,14,3,14,14,10,9,10,12,18,5,8,8,14,8,8,9,13,10,9,9,13,14,8,7,92,110
,Patrick Choroba,D/WB/M (R),27,9,11,10,5,11,7,9,7,9,11,11,2,13,9,14,10,12,10,11,15,5,8,10,12,10,13,10,15,12,10,14,10,10,11,8,12,97,103
,Patrick Kurzen,WB/M/AM (R),26,8,13,12,10,11,8,7,3,7,7,12,5,6,12,14,10,7,10,8,14,11,13,8,13,8,9,10,10,14,14,9,5,17,14,14,6,97,103
,Andy Firth,GK,26,4,1,2,2,8,8,4,1,2,3,9,3,2,8,6,10,9,11,9,9,7,2,13,1,13,11,7,10,11,12,9,12,14,10,10,8,84,90
,Gianluca Korte,M (RLC)/ AM (C),32,10,11,12,13,14,4,10,13,3,3,12,6,3,14,5,10,12,9,11,10,7,14,4,11,6,12,13,12,12,14,5,10,12,10,9,7,97,104
,Raúl Rubio,ST (C),23,5,4,10,14,12,3,14,6,7,6,9,8,3,10,10,13,9,12,9,12,16,9,1,14,7,8,6,9,13,14,9,6,15,12,10,10,92,109
,Pirata González,M (RL)/ AM (RLC),28,7,8,12,9,13,7,7,10,6,3,8,4,3,12,10,9,9,9,8,10,14,13,5,10,7,8,10,12,13,13,11,5,8,13,9,3,94,99
,Jordi Cano,AM (L)/ ST (C),28,7,7,10,8,9,7,9,7,6,7,11,3,4,12,8,9,4,10,8,13,4,12,9,10,6,8,7,9,13,13,8,5,11,13,13,6,92,105
Inj,Tyreik Wright,M (RL)/ AM (RLC),21,9,10,11,10,10,9,7,8,2,4,9,6,4,12,7,8,8,9,8,9,8,13,4,11,9,7,10,10,14,13,12,8,11,13,12,7,96,110
Wnt,Joel Randall,AM (RLC),23,8,13,14,11,13,9,7,8,2,7,12,6,6,14,8,10,7,12,9,11,4,14,3,12,8,13,13,12,13,12,11,9,12,11,12,5,106,135
,Rubén Serrano,D (C),22,7,5,3,8,11,4,13,4,10,13,12,9,17,6,15,12,8,14,7,7,2,7,13,8,13,11,9,12,13,12,12,14,7,12,13,9,92,121
,Mario Stockenreiter,GK,25,4,3,3,1,3,7,1,1,3,1,6,3,2,4,12,10,15,6,9,14,11,3,10,2,11,8,7,7,13,11,8,11,9,12,4,6,85,88
,Manel Royo,D (LC)/ WB (L),29,8,12,11,8,10,5,10,7,9,12,9,7,12,12,7,14,11,12,11,9,11,5,8,7,12,11,9,13,15,11,12,10,13,12,12,9,97,105
,Jorge Galán,ST (C),34,6,7,12,14,12,10,9,11,6,3,11,12,4,12,10,10,12,12,10,11,10,13,7,13,4,13,9,10,14,12,10,6,12,14,12,8,92,120
,Michael Guthörl,D/WB (R)/ M (RLC)/ AM (R),24,8,11,11,7,10,9,8,9,9,10,9,6,11,10,10,10,11,10,10,10,4,10,7,10,10,11,9,11,12,11,10,10,10,12,12,10,97,108
,Diego Piñeiro,GK,19,4,3,1,2,6,7,2,1,3,3,15,2,2,6,6,12,14,8,9,14,14,3,6,2,10,10,9,9,9,12,10,12,8,10,8,7,92,115
,Orhan Aktaş,D/WB (L),28,10,12,9,7,11,11,9,7,12,9,11,6,11,11,12,10,8,11,9,9,14,7,6,8,11,13,8,13,11,11,11,10,13,12,11,11,80,95
,Juan Serrano,M/AM (C),23,7,9,10,10,14,8,8,12,6,9,10,4,5,10,12,12,7,9,8,14,5,9,9,11,10,13,11,19,10,8,9,5,11,7,12,4,92,128
,Felix Keidel,M/AM (C),20,7,8,10,14,13,8,8,10,3,8,14,2,8,12,15,8,6,4,10,13,3,11,4,5,10,9,14,11,14,14,9,5,11,14,10,6,106,138
FrA,Raphael Steinmetz,AM (RL)/ ST (C),28,9,11,14,11,14,9,13,7,6,9,13,5,8,10,8,11,10,12,8,12,8,12,9,9,9,9,9,11,11,10,8,10,15,13,11,14,97,107
,Álex Salto,D (C),26,5,5,3,8,10,1,14,1,1,13,9,6,13,8,12,10,14,9,9,14,5,5,10,5,9,8,8,7,14,14,9,11,12,10,11,10,92,106
,Mohamad Sylla,DM/ M (C),29,3,4,11,7,10,4,11,5,7,10,11,5,14,12,16,13,13,10,9,11,4,8,8,10,12,11,11,14,11,9,12,12,12,11,14,13,94,100
,Roberto Alarcón,D/M (R)/ AM (RC),25,7,9,8,8,11,7,7,8,7,7,12,12,10,10,10,9,8,11,7,13,6,12,5,9,7,13,8,9,9,13,10,8,6,11,9,8,82,104
,Jonathan Asp-Jensen,DM/ M/AM (C),17,13,10,13,9,13,13,5,11,2,8,13,9,9,14,11,8,9,10,8,8,12,15,4,11,10,12,12,12,12,12,11,8,14,11,11,7,95,150
,Bastian Strietzel,D (LC),25,4,7,7,3,8,7,11,5,6,10,8,7,13,5,6,11,10,7,9,13,5,5,10,7,13,7,7,9,13,12,8,13,12,12,6,13,97,111
,Lewis Page,D/WB (L),27,9,12,9,7,8,11,10,4,8,10,9,5,11,9,12,9,11,8,11,9,8,5,10,11,11,12,9,13,11,10,9,9,10,10,10,9,79,115
,Sergio López,D (RC),19,7,11,4,1,10,8,10,8,8,10,9,3,14,7,15,9,10,9,12,14,12,5,11,5,11,9,6,9,14,10,9,11,15,11,14,7,92,112
,David Sánchez,M (C)/ AM (LC),24,11,10,10,9,12,11,6,12,5,9,13,13,11,13,11,10,8,11,11,10,10,12,9,11,10,11,11,9,11,11,9,8,13,11,12,10,92,109
Lst,Patrick Kapp,D (RLC),25,6,7,8,5,10,6,12,7,10,11,10,6,10,11,10,11,13,10,9,10,11,8,12,7,12,12,8,13,11,11,11,11,14,10,12,11,97,106
,Adrian Bravo-Sánchez,DM/ M (LC)/ AM (C),29,8,9,9,10,14,7,8,8,7,10,9,6,11,9,9,9,9,10,7,13,6,8,6,10,12,9,13,13,14,14,10,9,15,14,10,7,97,100
,Jan Löhmannsröben,D (C)/ DM/ M (C),32,6,6,10,9,10,6,11,10,12,12,12,11,12,9,16,11,15,11,7,10,13,6,12,8,12,14,9,15,10,10,13,11,15,10,13,14,97,110
,Matti Steinmann,DM/ M (C),28,9,12,8,7,12,8,9,10,8,11,14,10,11,14,8,12,13,15,12,12,7,8,10,8,13,16,13,8,8,11,10,13,15,10,13,12,97,125
,Carlos García,D/WB (R),34,7,9,9,8,10,2,11,8,12,10,9,6,10,9,12,12,14,12,11,11,10,5,11,11,10,11,8,11,13,11,10,11,12,12,12,14,92,95
,Björn Jopek,DM/ M (LC)/ AM (C),29,13,11,11,9,12,12,7,12,6,9,12,10,8,13,10,12,12,10,11,11,10,11,8,11,9,12,12,10,12,14,11,11,12,13,13,11,97,99
,Julián Lugo,AM (RL),23,10,9,9,8,8,6,8,4,6,6,12,4,7,11,6,6,1,12,10,8,9,10,1,12,4,8,9,12,12,10,9,6,15,12,9,9,63,94
,Paul Milde,D (RL)/ WB/M/AM (R),28,11,9,12,9,10,11,8,8,7,4,10,6,5,12,6,8,8,10,8,9,14,12,4,10,7,14,10,13,14,15,10,9,14,12,10,7,97,101
FrA,Ben Garratt,GK,29,3,2,3,2,9,7,4,3,2,3,7,1,2,8,12,10,13,12,12,11,11,5,11,10,12,11,5,12,9,11,11,12,12,9,11,10,93,105
Loa,Louis Köster,M/AM (C),20,11,8,11,10,11,11,8,11,7,9,11,12,9,11,8,9,9,9,11,10,9,11,7,11,9,12,11,11,10,10,11,12,13,11,12,10,82,116
,Nacho López,D/WB/M/AM (R),35,12,11,9,5,11,11,9,10,12,11,13,5,12,11,7,11,11,12,11,10,11,9,6,10,12,9,7,9,10,14,11,11,14,11,10,10,92,115
,Filip Kusić,D (RLC),27,7,9,8,9,9,2,10,9,6,13,12,7,11,13,11,10,13,9,9,10,10,5,9,8,11,8,8,11,13,11,8,13,12,12,10,11,97,100
,Josín,D (C),25,2,4,5,5,9,1,11,6,1,12,8,3,14,6,15,11,10,8,7,14,16,7,3,8,14,8,6,9,14,14,9,10,11,14,12,8,92,115
,Antonio Navas,D (R),28,5,8,8,7,9,4,11,7,10,11,6,4,11,7,12,10,12,11,13,12,7,8,11,9,12,13,9,12,11,10,12,12,12,12,13,13,92,100
,Seán Grehan,D (C),19,5,7,7,5,11,6,11,6,12,11,11,7,12,10,11,10,12,10,11,10,9,6,10,6,12,11,10,12,10,8,10,12,12,11,12,11,89,112
,Joan Rojas,D (C),23,3,6,6,4,11,3,13,4,7,12,11,4,13,11,12,12,11,10,10,9,10,5,8,3,13,11,11,9,12,10,10,13,12,13,8,12,94,117
,Philip Schulz,DM/ M/AM (C),30,8,11,13,11,13,8,8,10,1,9,11,7,14,12,13,13,9,10,10,11,11,15,11,10,14,9,9,13,12,12,9,10,6,13,11,6,97,100
,Cole Campbell,M (RL)/ AM (RLC),17,10,13,13,5,13,8,7,15,8,6,11,2,5,15,6,10,7,10,6,6,11,14,2,9,7,13,11,13,13,13,8,2,10,13,8,1,88,134
FrA,Borja Ekiza,D (C),35,3,4,7,4,10,5,11,5,6,12,9,5,12,10,8,11,13,12,12,12,11,4,11,6,12,13,10,15,8,7,9,11,9,9,10,11,82,136
,Eder,ST (C),35,6,8,10,13,10,10,13,12,3,4,11,10,5,10,6,10,7,10,11,9,11,8,10,12,6,13,10,12,11,8,11,12,12,12,12,14,92,95
,Shaq Coulthirst,ST (C),28,4,7,10,11,9,7,7,9,4,6,9,9,5,9,11,11,10,5,11,11,10,11,4,10,3,10,11,10,11,12,11,9,8,11,9,12,64,115
,Marvin Schieb,AM (L),26,8,12,12,11,12,7,8,9,5,2,10,9,2,12,7,8,7,10,9,11,10,11,10,11,8,11,8,11,12,13,10,10,12,12,11,11,89,105
FrA,Simon Seferings,M/AM (C)/ ST (C),27,6,4,10,10,11,5,8,6,4,7,9,7,8,11,10,9,12,10,8,8,13,10,6,9,9,11,9,11,13,12,9,12,11,11,12,9,85,88
,Víctor Olmo,D/WB/M (L),22,9,10,10,5,9,7,9,6,3,9,10,7,9,9,12,10,10,9,11,11,11,9,15,9,10,10,9,11,13,11,14,5,13,13,12,4,92,123
,Konstantin Heide,GK,17,4,3,2,2,1,8,1,2,2,3,7,3,2,5,10,6,16,7,11,13,9,3,1,1,7,9,8,7,9,9,9,10,15,11,2,7,85,120
Wnt,Emirhan Demircan,M (L)/ AM (RL),18,6,10,13,11,12,6,7,8,3,4,12,7,5,13,7,9,7,8,7,7,10,15,3,11,4,11,12,9,13,12,9,11,13,13,9,8,85,121
,Shaqueel van Persie,AM (RL)/ ST (C),16,8,11,13,11,14,8,13,10,8,8,9,12,6,12,5,10,9,7,6,11,12,11,4,8,7,9,10,10,13,13,9,14,7,12,10,7,100,153
,Ramien Safi,M (RL)/ AM (RC),23,5,7,14,7,14,8,6,7,3,8,13,5,9,14,9,9,5,9,9,13,12,15,1,14,7,9,7,13,13,14,9,9,9,14,10,6,97,111
,Anthony Pavlešić,GK,17,4,1,2,2,8,8,6,3,1,3,9,3,1,8,10,8,12,8,10,7,12,2,12,3,12,10,8,10,8,12,10,15,12,9,8,11,85,129
,Javi Ramos,D (C),32,4,6,2,5,7,1,14,4,2,14,7,3,13,6,11,13,9,7,8,14,18,5,6,6,14,7,6,9,12,8,8,8,12,10,13,8,82,86
,Maximilian Pronichev,M/AM (C)/ ST (C),25,7,8,10,13,12,8,13,10,5,6,11,10,7,12,12,14,12,14,12,8,11,11,8,13,8,10,10,11,11,13,11,11,15,12,12,10,97,106
,Jordan Zirkzee,M/AM (L)/ ST (C),17,9,12,14,7,12,7,9,8,7,4,8,2,5,8,12,7,4,7,7,10,10,7,10,12,7,8,7,9,14,13,6,13,16,11,7,5,85,105
,Almugera Kabar,D/WB/M (L),17,6,11,12,7,9,8,10,8,12,10,9,10,11,9,14,7,10,8,7,7,13,12,8,10,10,10,9,12,14,12,10,12,11,14,11,12,85,124
Yth,Maximilian Hennig,D/WB (L),16,11,11,12,6,12,8,7,6,11,10,11,6,12,12,7,9,12,10,9,9,10,12,4,11,10,13,11,12,13,12,9,8,13,12,12,8,90,126
Yth,Bruno Numbisie,D/WB (R),16,6,10,10,7,9,4,9,7,9,11,11,6,14,11,12,11,9,8,8,7,15,10,8,7,8,15,10,15,9,15,14,4,14,12,14,4,85,124
Yth,Nico Vidic,DM/ M/AM (C),16,8,5,12,10,12,8,8,10,7,9,12,5,8,13,5,6,8,6,10,15,10,11,10,10,10,8,12,12,12,10,15,8,11,11,7,5,84,128
,Javi Olmedo,GK,29,5,2,2,2,9,9,9,3,3,2,10,2,1,8,5,10,10,12,10,11,16,3,12,1,9,13,7,11,8,11,8,12,8,9,11,11,92,106
,George Francomb,D (RC)/ WB (R),31,12,12,9,7,11,10,12,11,4,11,11,8,10,10,8,10,10,10,10,9,9,7,13,9,10,13,7,12,8,8,9,11,13,8,11,11,78,108
Yth,Robin Lisewski,GK,17,5,3,1,3,2,8,1,1,3,1,13,3,1,1,5,6,13,7,11,13,9,2,8,2,11,7,6,6,9,14,5,14,15,8,2,6,85,133
,Tim Heike,AM (RL)/ ST (C),23,6,10,14,14,14,6,13,6,4,8,10,5,7,13,12,11,7,11,6,14,12,12,11,12,8,8,7,10,14,14,6,11,11,14,6,8,99,111
,Santi Miguélez,ST (C),21,9,8,11,11,14,9,15,9,2,8,10,6,6,11,15,11,15,11,6,15,10,13,1,11,9,9,10,10,11,11,14,11,13,11,7,11,92,117
,Diego Guti,DM/ M (C),22,4,7,6,9,14,9,9,10,1,8,14,5,14,11,15,12,10,11,14,13,15,5,1,10,10,14,5,14,11,8,8,5,12,8,11,8,92,115
Wnt,Jonathan Riemer,D (LC)/ DM,22,7,12,7,6,12,8,11,7,9,12,10,6,15,8,12,14,10,10,11,10,6,5,5,9,13,10,10,11,14,9,10,10,12,12,15,7,97,116
,Álex Martínez,M/AM (R)/ ST (C),29,5,8,10,11,8,7,8,5,6,5,9,6,7,12,8,11,9,9,8,11,17,12,13,11,7,8,9,9,13,13,9,6,12,13,8,8,92,104
,Joel,AM (R)/ ST (C),24,7,9,11,13,10,7,9,10,5,5,10,12,6,11,12,11,12,11,10,10,9,13,7,12,8,12,10,11,12,10,11,12,12,12,10,13,92,105
,Jorge Gonzalez,AM (RL)/ ST (C),24,10,10,10,14,14,8,8,8,8,8,11,6,8,12,5,9,7,9,9,8,14,11,9,14,7,8,7,13,10,13,11,10,8,11,10,12,94,122
,Iván Moreno,GK,27,4,3,2,2,4,8,1,1,3,2,10,2,2,7,5,11,12,7,8,12,10,1,6,1,10,9,8,8,13,12,8,7,14,14,4,8,92,93
,Adolfo Romero,D (RC),23,4,8,5,2,8,1,11,1,5,13,8,4,13,5,10,11,10,7,9,13,7,5,6,7,13,7,4,8,13,10,8,11,11,11,6,7,92,114
,Jonas Saliger,AM (L),19,6,9,7,9,13,6,7,6,6,6,9,6,7,11,13,5,7,9,5,10,7,11,12,9,5,7,7,8,13,13,7,5,7,13,9,4,84,113
,Reda Ergouai,D (C),20,6,7,9,6,9,4,12,8,6,11,10,4,12,11,13,12,11,11,13,11,4,8,12,7,11,13,11,12,10,9,10,12,14,12,11,12,92,113
,Diego Morcillo,ST (C),20,6,7,14,13,9,8,11,9,4,5,9,10,1,9,15,13,8,12,8,12,12,12,11,14,9,8,7,13,12,12,14,10,15,11,11,10,92,106
Loa,Lennard Becker,DM/ M (C),17,4,5,11,11,14,6,11,8,1,10,13,12,13,9,13,9,8,6,6,14,11,5,12,12,7,8,6,13,11,9,14,13,12,12,14,7,88,112
,Karl Etta Eyong,M/AM (C)/ ST (C),19,6,8,10,9,12,5,12,8,5,6,10,8,7,10,8,12,13,9,7,8,14,8,7,11,10,15,11,15,13,12,12,13,14,13,15,12,99,113
,Ale Palanca,D/WB (R),20,7,13,11,6,10,3,9,7,9,8,11,8,10,14,8,7,11,9,8,14,10,8,10,10,7,10,8,13,15,13,15,11,10,10,8,8,92,112
,Karlo Vidović,M (L)/ AM (RL)/ ST (C),24,6,9,10,13,14,5,5,3,7,7,14,6,5,10,15,7,9,11,5,8,19,9,12,12,7,8,8,9,13,12,7,9,6,13,6,6,81,102
,Edu Cabetas,D (C),27,7,5,7,2,10,2,14,7,13,11,13,4,11,8,7,11,11,12,11,9,18,7,13,7,15,9,7,10,11,9,10,12,15,10,8,7,92,105
,Pablo Corzo,D (C),32,2,1,1,5,8,1,11,5,3,14,8,1,12,7,5,12,9,8,10,14,12,5,8,7,12,7,4,8,9,10,8,16,13,10,8,8,87,95
,Borja Vicent,D (C)/ DM,28,8,6,7,3,8,8,10,7,1,14,11,2,14,10,13,9,9,9,9,14,16,5,12,7,14,9,8,15,14,14,9,6,15,11,8,8,92,98
Lst,Tobi Adebayo-Rowling,D/WB/M (R),26,8,13,14,7,10,6,8,7,8,8,11,5,12,10,9,9,10,11,8,9,5,11,7,8,7,10,7,15,14,10,10,11,11,14,12,9,84,90
,Pepe Pereira Mendes,M (R)/ AM (RL),18,9,12,10,11,15,8,9,9,1,7,12,10,9,13,8,10,4,13,7,13,14,11,6,14,6,9,10,10,8,11,3,13,12,11,8,6,84,102
,Dan Karsten,DM/ M (C),18,8,7,8,8,14,8,8,8,8,9,9,3,15,9,7,6,9,9,8,13,15,5,5,9,6,9,9,7,15,13,10,11,12,15,8,7,84,119
,Lukas Sommer,D (R),18,4,9,6,3,12,2,9,8,8,9,8,3,14,7,9,11,10,9,13,13,3,12,1,5,9,8,9,9,15,14,9,8,17,14,11,3,87,129
