Inf,Name,Media Description,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Matty Kennedy,Winger,28,13,12,14,9,11,15,7,11,8,7,9,10,7,12,8,10,9,12,12,8,12,13,5,11,8,12,11,14,15,13,12,7,12,14,11,6,111,123
,Bailey Rice,Promising midfielder,16,12,8,7,7,13,15,8,9,4,7,15,5,10,14,8,7,9,14,10,15,4,5,12,8,8,14,13,10,5,6,15,10,12,9,9,6,85,143
Loa,Amario Cozier-Duberry,Winger,18,10,10,13,10,13,12,3,9,1,3,12,13,4,13,10,9,7,11,8,8,12,14,6,12,4,13,13,13,16,15,11,3,13,14,9,5,107,146
,Gerrit Gohlke,Centre-back,24,5,9,9,9,11,9,14,6,3,8,11,4,13,10,13,13,10,10,8,15,6,6,9,9,12,9,10,9,13,10,10,16,10,13,14,8,100,116
,Pablo Clavería,Midfielder,27,9,10,11,13,14,11,9,13,8,14,13,8,11,14,14,14,11,11,12,14,18,5,10,11,14,12,11,15,11,13,10,11,11,11,12,11,110,118
,Luis Görlich,Full-back,23,10,11,11,8,11,10,10,10,9,11,11,8,11,10,9,12,12,12,11,12,13,9,10,11,12,14,10,12,13,12,9,11,13,14,13,8,105,120
,Regan Poole,Centre-back,25,4,11,10,7,11,5,12,8,12,12,12,6,13,12,10,13,11,12,12,12,13,8,15,10,13,14,10,13,11,11,11,13,15,12,14,13,115,137
,Keith Watson,Experienced centre-back,33,7,12,12,9,12,9,14,9,8,12,13,8,12,10,13,11,12,12,10,11,14,8,11,8,10,12,10,12,9,10,10,13,5,9,8,13,96,103
Wnt,Jack McMillan,Full-back,25,9,12,11,7,11,8,7,8,7,11,13,5,7,9,5,9,13,11,13,7,8,7,7,13,14,11,9,14,13,12,10,9,12,11,10,13,101,115
,Xemi,Attacking midfielder,28,13,12,13,13,13,9,11,11,5,7,13,7,9,13,7,12,10,12,13,13,4,13,13,12,8,10,14,9,12,13,12,12,9,12,13,10,110,118
Wnt,Matthew Hoppe,Striker,22,7,10,11,12,10,9,13,9,7,5,11,8,5,11,11,12,13,12,11,12,11,11,6,13,5,12,9,12,13,12,11,14,11,14,13,12,110,133
,Joe Shaughnessy,Centre-back,30,4,11,10,9,12,5,14,6,17,13,11,4,13,11,9,12,13,11,10,11,10,8,14,11,14,10,9,14,10,11,11,9,13,10,12,11,106,106
,Omar Sijarić,Winger,21,10,9,11,7,11,11,7,6,10,7,9,4,8,12,14,10,7,8,8,8,12,9,12,8,6,10,9,13,14,12,8,10,12,13,10,7,97,113
Inj,Josh Ginnelly,Winger,26,6,11,13,12,12,9,5,11,5,4,10,8,6,12,7,8,8,9,9,9,11,14,4,13,7,9,11,12,17,13,9,9,13,15,9,13,112,125
,Alberto,Winger,23,11,10,13,11,11,8,3,13,2,4,11,9,5,12,11,8,9,8,10,11,8,13,9,12,11,13,11,13,15,13,12,8,10,14,14,8,110,125
Inj,Mitja Ilenič,Full-back,18,12,13,12,9,13,8,8,7,7,11,11,9,12,13,12,13,12,12,12,11,9,13,11,12,13,12,11,13,13,11,9,8,12,13,11,9,108,140
,Manu Farrando,Centre-back,28,8,12,7,5,9,7,12,8,9,10,12,7,12,9,13,12,11,11,11,10,6,5,11,9,12,12,9,13,11,10,10,13,12,12,9,12,96,125
,Simon Stehle,Winger,21,5,8,11,10,9,4,10,8,14,7,9,11,7,11,13,9,9,8,7,7,7,12,8,12,7,10,9,9,18,11,8,10,12,16,10,9,94,110
Loa,Pablo Gozálbez,Attacking midfielder,22,11,12,12,12,14,11,4,10,5,3,13,4,5,12,6,10,6,9,12,14,15,15,10,13,13,15,15,14,12,13,12,4,5,12,10,8,110,135
Lst,Keaghan Jacobs,Experienced midfielder,33,8,11,7,8,11,11,6,12,2,8,10,10,8,12,7,9,12,8,10,8,4,4,9,7,10,14,11,12,6,10,12,7,10,11,10,8,69,105
,Chris Maguire,Veteran winger,34,13,14,10,10,11,12,5,12,5,5,12,15,4,13,7,13,11,13,12,12,8,14,11,13,13,8,13,7,8,11,11,7,10,7,10,9,90,120
,Scott Pittman,Attacking midfielder,30,12,9,10,10,15,12,6,9,9,12,14,10,11,13,12,14,7,12,8,11,10,4,5,12,14,16,12,16,5,7,12,8,9,8,14,13,100,115
,Pedro,Winger,17,11,9,14,11,12,10,7,10,7,9,10,11,8,12,8,11,11,10,10,10,9,15,5,13,6,9,8,12,13,15,9,7,13,13,11,7,114,155
,Ary Papel,Attacking midfielder,29,10,12,14,11,14,10,11,10,6,5,10,8,5,15,12,12,8,8,8,8,6,16,6,12,6,10,10,9,14,14,10,8,14,14,11,8,107,126
,Diego Percan,Striker,21,9,10,12,13,12,9,11,11,6,5,10,11,6,12,9,11,9,9,9,11,12,14,8,13,4,11,11,11,14,13,12,11,14,13,11,11,110,135
FrA,Djalma,Veteran winger,36,13,11,13,9,11,12,8,9,8,9,11,11,8,13,12,8,10,8,10,8,12,13,8,11,9,8,10,11,11,12,13,7,8,11,7,11,88,125
,Simon Murray,Striker,31,7,9,13,13,8,12,11,12,5,9,9,11,7,8,13,10,16,11,9,8,12,8,10,11,9,15,9,18,13,13,10,9,17,12,16,12,102,109
FrA,Manuel Haas,Full-back,27,11,11,12,7,11,10,11,7,12,10,11,7,12,11,17,9,12,9,9,9,11,6,7,11,10,12,9,14,13,12,11,10,11,13,13,11,98,100
,Simón Moreno,Striker,26,7,8,12,13,12,7,10,8,7,7,12,12,8,14,15,10,14,10,10,10,9,13,10,12,11,11,13,14,12,12,11,9,13,12,11,10,100,121
,Harry Cornick,Winger,28,7,9,10,10,13,7,12,10,15,6,14,12,9,10,8,12,9,11,11,8,10,12,8,15,8,12,14,16,10,12,10,10,12,13,16,12,106,122
,Billal Brahimi,Winger,23,9,11,14,11,13,10,9,14,6,6,12,7,5,13,8,10,11,10,10,10,14,14,8,11,10,10,13,11,14,13,13,11,13,15,13,12,122,133
,Adilson,Winger,26,11,12,14,12,12,12,7,10,6,5,11,14,7,12,11,11,9,12,11,11,12,12,9,12,7,12,11,12,14,13,13,6,15,13,13,7,110,124
,Roberto Fernández,Attacking full back,23,9,14,12,12,12,10,9,13,10,9,12,10,10,13,11,10,11,10,12,11,11,12,9,12,11,11,11,11,13,12,11,9,15,13,14,9,118,130
,Samuel Silvera,Winger,22,7,10,14,10,12,8,6,12,4,6,12,11,7,12,9,11,8,10,11,10,6,14,4,12,6,11,10,11,15,16,12,7,12,13,13,9,116,126
,Chris Forrester,Midfielder,30,10,11,13,11,12,12,10,13,6,8,14,14,8,13,8,9,9,13,11,12,7,14,14,11,9,10,13,9,11,10,13,11,13,11,13,10,106,120
,Varol Tasar,Winger,26,11,11,13,13,9,12,7,13,5,5,10,8,5,11,10,10,12,9,11,9,10,10,6,11,8,12,13,11,13,10,10,8,12,12,11,8,112,125
Wnt,Declan McManus,Striker,28,2,7,10,12,9,6,10,9,5,3,10,10,5,10,10,10,11,8,8,8,12,9,5,13,5,11,9,15,13,13,10,10,17,15,13,14,96,100
,Daryl Horgan,Winger,30,11,11,13,10,12,10,6,10,5,5,11,9,6,12,11,9,7,11,9,8,11,12,5,11,8,11,11,12,12,12,12,6,12,12,11,8,94,127
,Unai Rementeria,Defensive midfielder,23,7,7,10,7,11,7,12,12,7,12,12,8,12,12,13,11,12,11,11,11,11,5,10,9,12,14,11,13,12,12,9,11,12,12,14,13,100,122
ESC,Christ Tiéhi,Defensive midfielder,25,5,9,8,8,12,7,11,7,8,13,12,8,14,12,12,13,14,11,12,12,9,9,11,10,13,13,10,13,13,11,11,11,14,11,14,14,112,118
,Juankar,Experienced full-back,33,12,15,13,9,13,10,7,10,7,12,12,10,12,13,14,11,10,14,11,12,13,12,12,12,12,13,12,14,14,15,12,9,15,14,13,9,125,135
Inj,Tim Iroegbunam,Midfielder,20,10,9,13,8,13,9,7,13,6,10,13,7,12,14,12,10,12,14,11,11,11,14,6,12,10,11,12,13,14,13,14,13,15,13,13,12,117,145
Ret,Eoin Doyle,Veteran striker,35,6,6,8,14,10,9,11,10,8,8,10,15,6,11,11,12,12,12,13,13,12,10,13,13,8,11,10,12,10,12,12,11,15,10,14,10,95,120
,Michael Smith,Experienced full-back,34,5,12,9,6,10,5,10,10,10,12,11,7,13,10,12,12,15,13,12,12,14,9,10,10,13,13,12,13,11,11,11,11,15,11,10,11,101,116
,Dani Perejón,Full-back,24,5,9,9,7,12,1,10,7,7,9,11,6,10,11,7,11,11,6,13,14,4,5,2,9,10,10,9,10,14,14,10,8,14,14,14,12,110,120
,Perry Ng,Full-back,27,5,11,11,9,11,13,12,12,9,13,12,5,12,13,12,13,14,12,11,10,13,9,14,12,14,14,12,16,12,12,13,10,13,12,15,13,120,128
,Agon Elezi,Defensive midfielder,22,8,8,12,12,10,9,7,11,6,10,12,8,13,12,14,13,14,12,9,11,12,11,7,13,9,12,11,14,13,14,10,10,13,12,12,8,104,121
Wnt,Mahamadou Susoho,Defensive midfielder,18,5,10,8,10,11,6,11,11,3,11,13,7,13,12,15,13,10,14,13,16,5,5,3,10,11,15,6,12,12,11,11,6,14,8,9,9,103,115
,Bermu,Midfielder,26,7,7,7,13,13,7,7,9,1,7,13,8,7,12,8,6,9,10,8,13,11,12,10,12,8,8,13,12,13,13,8,8,14,13,13,7,90,105
,Lillo,Experienced full-back,34,8,11,10,8,8,5,11,7,13,13,11,8,12,10,17,12,14,12,13,14,9,7,10,11,12,13,9,13,10,11,12,9,12,11,10,12,100,126
,Max Clark,Full-back,27,11,12,9,7,10,12,9,9,5,11,11,5,11,11,12,11,12,9,9,9,8,9,8,12,12,13,8,14,11,11,10,9,12,12,12,9,92,125
FrA,Bruno Pirri,Centre-back,30,7,7,10,7,9,10,11,10,10,14,8,9,13,10,14,13,16,8,13,11,14,8,12,8,13,14,10,14,12,12,12,13,14,13,12,13,114,120
,Lars Bünning,Centre-back,25,7,10,10,6,10,7,12,6,12,11,11,6,12,10,17,11,13,11,12,10,9,10,8,9,11,12,10,12,11,11,12,13,11,14,12,13,101,105
,James Furlong,Attacking full back,21,10,13,11,7,11,10,9,7,5,11,12,6,11,14,13,12,15,13,11,11,6,9,10,14,12,12,11,14,12,13,10,8,15,11,12,9,107,133
,Pius Dorn,Attacking full back,26,7,13,12,9,12,7,9,7,12,9,11,7,10,12,9,12,11,12,12,12,12,11,12,14,12,15,13,15,13,13,13,9,13,13,14,10,121,130
,Giorgi Gagua,Striker,21,7,4,14,14,14,8,14,7,1,6,9,5,6,12,5,14,7,7,9,14,11,11,10,14,9,8,9,9,14,10,9,12,9,11,8,8,90,115
Wnt,Felipe Araruna,Defensive midfielder,27,10,13,11,10,12,11,11,12,4,11,13,11,11,12,10,11,10,13,10,11,8,5,11,9,11,12,11,13,11,10,12,8,13,11,14,11,110,125
,William De Camargo,Winger,24,8,12,15,14,14,6,9,10,5,5,14,8,6,13,14,14,8,10,10,14,7,15,4,14,8,8,13,8,14,12,14,5,10,13,11,9,110,129
,Cássio,Defensive midfielder,24,7,7,4,3,13,7,7,9,1,10,13,5,13,13,9,11,9,6,9,13,13,5,8,8,11,8,12,12,13,12,8,9,9,13,7,13,90,112
,Caio Emerson,Winger,24,7,10,11,10,11,3,8,12,1,6,10,1,4,11,15,9,8,9,7,11,10,14,5,9,6,7,11,10,12,13,9,10,14,13,11,7,90,125
,Kevin O'Toole,Attacking full back,24,10,10,12,11,11,7,9,6,6,10,11,11,10,12,12,13,10,9,10,11,6,11,8,12,11,12,10,13,11,12,11,9,10,12,12,8,103,115
,Oscar Zambrano,Midfielder,19,6,8,12,10,15,9,7,13,5,10,13,10,11,14,14,10,11,13,8,15,15,6,8,13,10,12,16,15,9,14,12,8,12,12,12,10,120,143
,Niccolò Pisilli,Midfielder,18,9,11,12,12,13,8,9,10,7,7,13,9,11,13,12,11,10,12,11,11,6,10,6,11,8,12,12,14,13,13,14,10,13,13,13,13,112,149
,George Byers,Midfielder,27,13,12,12,12,13,13,12,13,5,6,14,13,13,12,12,14,14,14,10,12,11,15,11,14,11,13,12,14,10,12,14,9,8,10,9,13,115,129
,Borja Granero,Experienced centre-back,33,5,5,6,7,11,6,14,11,6,13,11,7,14,9,16,11,16,8,10,10,13,9,13,11,14,15,15,17,10,9,5,16,10,10,13,15,110,125
FrA,Lee Sang-Hyeok,Winger,23,7,9,10,7,9,6,5,8,2,4,9,8,5,10,6,7,6,5,7,9,8,7,6,9,7,10,8,11,15,13,10,5,8,14,11,6,79,105
ESC,Lukas Engel,Full-back,24,9,13,12,10,12,10,11,10,8,12,12,10,11,12,12,11,11,11,12,11,9,11,11,13,11,13,12,14,13,12,11,9,12,12,14,10,121,129
,Ernesto Gómez,Winger,28,9,12,12,12,12,9,8,7,8,10,12,11,9,12,9,11,9,10,11,9,7,10,8,12,10,12,11,12,12,12,15,6,18,12,12,11,100,110
,Tom Hateley,Experienced midfielder,33,12,11,10,9,11,12,11,10,7,11,12,9,13,11,14,12,13,11,11,11,14,7,12,9,12,13,11,12,9,9,12,11,11,9,11,12,106,116
,Javi López-Pinto,Winger,22,8,10,10,12,11,8,8,11,8,9,11,12,8,12,9,12,12,10,9,11,12,14,8,11,10,13,12,14,12,12,6,12,7,13,10,10,100,115
,Ayoze,Veteran winger,37,12,12,13,10,12,12,7,12,5,6,12,14,8,13,10,11,10,10,11,10,16,10,14,12,9,9,13,9,10,10,8,7,15,9,9,8,85,127
,Jan-Carlo Simić,Centre-back,18,3,5,7,6,9,4,12,5,10,13,11,8,13,11,14,14,13,13,12,11,14,6,12,7,13,12,9,11,12,11,13,13,14,13,13,12,112,142
,Adam Matthews,Full-back,31,9,11,10,7,11,11,8,10,13,13,11,10,12,11,8,12,10,11,10,12,7,10,7,11,9,11,10,14,13,10,14,10,9,12,14,13,110,136
FrA,Jordon Mutch,Midfielder,31,11,12,12,10,13,11,11,12,6,9,13,6,12,13,8,11,9,11,10,11,11,7,8,12,10,12,12,9,7,9,11,12,9,8,8,10,88,135
,Riccardo Pagano,Midfielder,18,10,9,12,12,13,13,9,11,5,5,12,19,6,13,10,11,8,12,10,11,11,15,8,11,7,13,12,12,14,14,8,8,11,13,12,9,111,144
,Momodou Sonko,Winger,18,8,10,14,13,13,10,7,10,5,6,11,8,6,13,10,11,11,13,12,11,12,12,5,11,9,9,12,10,14,14,9,8,12,13,12,7,113,149
Lst,Korey Smith,Experienced midfielder,32,6,10,12,8,11,6,8,10,7,11,13,7,13,11,13,12,14,12,10,13,10,7,13,12,11,10,12,13,14,12,15,9,12,10,13,10,109,125
,Eloy Gila,Well-travelled striker,35,4,10,11,10,9,9,6,8,7,4,11,10,4,12,9,12,9,11,12,11,9,9,8,12,5,9,11,11,12,11,11,10,10,12,11,8,95,115
,Gary Martin,Experienced striker,32,10,9,9,12,9,10,10,9,9,9,9,11,5,10,9,13,12,15,12,14,14,8,12,14,7,15,13,12,7,8,10,10,14,8,8,8,88,108
,Kayrat Jyrgalbek uulu,Full-back,30,8,13,12,10,10,4,9,10,5,10,10,6,11,12,8,9,13,13,10,12,12,10,12,7,9,11,9,13,13,13,10,9,15,12,13,9,100,110
Loa,Carlos Mendes Gomes,Attacking midfielder,24,7,10,14,11,11,7,9,11,5,3,13,8,7,12,7,11,8,12,8,9,11,15,7,13,8,13,13,13,13,14,13,7,11,12,10,6,104,118
,Jon Magunazelaia,Attacking midfielder,21,9,8,11,14,14,8,10,8,4,10,11,9,10,13,15,12,7,10,8,13,5,12,5,14,11,10,14,11,14,14,11,9,12,14,7,8,118,123
,Jack Fitzwater,Centre-back,25,2,5,7,7,10,3,13,6,5,13,9,6,15,9,14,11,17,11,11,13,7,4,11,11,12,13,10,15,11,9,11,13,12,11,12,14,110,120
,Lewis Gibson,Centre-back,22,4,10,8,8,11,6,13,8,14,12,11,6,12,11,11,12,12,13,11,10,10,6,11,10,13,12,10,12,11,11,13,14,15,12,13,14,114,140
Lst,Gary Gardner,Midfielder,31,10,10,12,11,12,12,14,12,8,11,12,9,12,12,11,12,13,12,12,11,13,9,12,13,13,15,12,14,8,9,12,12,12,9,11,10,103,126
Inj,Chuks Aneke,Striker,30,4,8,12,12,13,12,12,12,4,5,12,12,8,12,14,11,9,12,9,11,12,13,7,11,6,10,11,7,11,8,14,13,6,11,8,16,102,125
Wnt,Xisco,Veteran striker,37,6,9,11,12,12,6,14,11,7,4,11,12,6,12,12,12,11,11,11,11,12,12,12,12,6,11,11,8,7,8,10,14,13,9,9,13,90,137
,Yimi,Well-travelled midfielder,33,11,11,12,10,10,9,6,8,7,8,11,9,7,12,7,12,11,10,10,7,9,13,10,12,8,9,11,12,12,11,8,8,12,11,11,8,90,114
,Tom Parkes,Centre-back,31,5,7,8,7,10,4,13,6,1,13,11,6,13,9,15,9,13,10,9,10,12,7,12,9,12,12,8,11,8,8,10,14,8,8,11,13,90,104
FrA,Leandro Marín,Attacking full back,31,6,10,8,6,10,4,10,6,11,11,8,5,11,10,12,10,12,11,8,10,11,6,6,8,10,11,7,11,11,11,9,10,14,10,11,9,85,93
,Dion Sanderson,Centre-back,23,8,9,11,7,10,7,14,10,11,13,10,6,14,11,12,11,13,11,11,10,9,8,11,9,12,12,9,13,13,11,12,13,12,14,13,15,116,138
,Michael O'Halloran,Experienced winger,32,9,10,10,12,10,10,7,9,9,10,12,12,9,11,9,7,4,9,9,9,6,12,7,9,9,7,10,9,10,11,13,9,14,12,9,11,81,114
,Steven Caulker,Centre-back,31,5,5,6,7,11,6,15,5,7,11,9,5,12,10,11,11,13,11,11,12,3,7,12,6,12,12,9,8,7,7,11,14,12,6,7,13,85,135
,Bobby Burns,Full-back,23,11,11,10,8,9,9,8,10,7,11,8,4,12,10,13,10,13,8,13,9,9,8,15,10,9,12,8,14,11,11,13,8,12,12,13,12,92,119
,Lee Hodson,Full-back,31,3,11,10,6,10,5,10,4,7,11,10,3,11,11,8,11,12,11,10,8,13,8,10,9,10,11,8,13,9,10,12,10,15,10,12,9,78,90
,José Ángel Crespo,Veteran centre-back,36,6,9,9,5,10,4,11,4,10,12,11,5,11,8,13,12,13,11,11,10,12,8,14,7,13,14,9,14,10,10,12,12,13,11,11,11,105,130
,Pascu,Defensive midfielder,23,13,10,11,9,12,10,7,12,6,7,12,7,6,11,15,13,12,12,13,12,15,5,7,13,15,13,12,12,11,11,13,8,8,11,13,11,100,111
,Cristian Montaño,Winger,31,8,10,12,9,8,7,8,9,3,8,8,10,10,9,5,12,10,10,9,9,4,14,6,12,10,9,10,14,13,12,10,10,10,12,14,11,101,110
,Alan Forrest,Winger,26,8,11,14,12,13,6,6,10,4,7,14,15,2,12,6,11,9,12,10,12,10,9,3,13,9,12,15,12,13,10,14,7,12,14,11,9,109,123
,Sonny Bradley,Centre-back,31,4,6,6,5,8,5,16,5,11,14,9,7,14,8,16,11,16,11,11,10,13,5,13,6,14,17,6,15,7,8,13,18,14,7,14,15,110,120
FrA,Pedrito,Midfielder,27,3,7,11,8,10,5,4,5,5,5,10,1,6,12,7,8,8,7,9,9,4,14,14,7,4,7,11,10,12,12,8,6,10,12,12,6,84,115
Inj,Patrick McEleney,Attacking midfielder,30,12,12,13,11,13,12,9,14,3,4,12,14,4,13,8,11,7,13,6,11,11,15,13,12,4,7,13,9,12,11,13,9,12,12,11,12,104,105
,Stian Rode Gregersen,Centre-back,28,5,8,3,3,9,5,14,8,12,13,10,7,17,9,15,12,17,8,10,15,13,13,12,4,15,11,7,15,13,6,15,16,13,15,14,15,128,130
,Sullay Kaikai,Winger,27,11,12,14,12,13,11,7,11,5,6,13,11,7,13,6,10,8,12,10,10,11,13,5,12,4,10,13,10,12,12,10,10,12,12,10,10,99,125
,Liam Walker,Well-travelled midfielder,35,13,12,13,12,12,15,6,14,5,4,14,18,4,14,8,9,10,14,12,13,12,16,14,13,6,13,12,9,12,11,9,5,8,12,10,11,97,120
Inj,Tom Barkhuizen,Winger,29,11,10,11,11,11,10,11,9,16,4,11,11,6,11,5,12,9,11,10,9,10,11,6,12,8,12,10,13,14,13,12,10,8,14,12,10,110,126
,Jordan Cousins,Midfielder,29,8,8,11,7,9,6,9,10,11,12,10,7,12,10,11,9,11,8,14,12,15,5,10,10,11,14,9,18,13,13,12,12,17,13,18,11,110,140
,Matty Pearson,Centre-back,29,4,6,6,9,8,6,15,4,8,14,8,3,13,9,15,11,15,11,12,13,10,9,13,9,13,13,8,15,10,9,12,14,13,10,13,14,114,117
,Luke Garbutt,Attacking full back,30,13,14,11,11,13,13,9,11,14,10,12,14,10,14,8,11,8,12,10,10,11,9,8,11,10,12,13,12,11,11,11,9,14,10,13,9,101,130
,Florian Bähr,Full-back,20,12,13,12,7,11,13,11,7,15,11,11,13,11,11,14,9,12,10,10,9,11,11,7,11,11,13,12,12,12,11,11,12,15,13,13,11,100,129
,Álex Vallejo,Defensive midfielder,31,11,8,11,9,12,11,12,9,5,12,13,8,11,12,8,12,10,13,13,14,11,12,10,12,14,13,13,14,10,10,11,15,8,10,11,10,113,120
,Martín Montoya,Full-back,32,8,13,12,8,12,6,11,9,11,12,12,8,13,14,13,14,13,12,11,11,10,10,11,12,12,15,11,14,13,12,11,8,11,11,16,12,125,145
,Bruno Caballero,Experienced centre-back,32,2,3,2,4,7,2,13,8,3,11,8,7,11,10,10,12,10,9,11,10,13,10,9,8,12,11,10,11,12,11,11,14,10,12,10,12,84,90
,Ayo Obileye,Defensive midfielder,28,4,6,9,8,9,4,14,7,12,14,11,14,14,9,13,11,14,6,9,9,9,7,9,8,11,14,9,13,12,9,10,17,10,12,13,15,105,115
,Curtis Edwards,Midfielder,29,10,11,10,8,12,10,9,11,11,9,12,6,9,13,14,11,8,12,9,11,9,9,8,11,7,12,11,13,9,13,11,10,10,10,12,9,96,118
,Pablo Gállego,Winger,29,10,12,13,10,9,10,8,8,6,5,9,4,7,13,8,9,8,9,11,12,9,14,7,12,6,10,7,10,14,13,12,7,10,12,11,8,90,105
,Josh Vela,Midfielder,29,10,9,9,10,11,10,10,10,4,11,11,6,13,12,13,11,13,11,10,11,14,10,11,11,10,14,10,15,10,11,12,11,14,11,14,11,104,130
,Luis Alcalde,Midfielder,28,12,11,8,12,11,11,9,10,1,9,12,7,11,13,8,10,7,10,10,14,11,10,13,13,9,10,13,13,11,10,14,8,12,12,13,13,110,125
,Dennis Erdmann,Experienced midfielder,32,6,6,8,8,7,6,12,7,6,13,8,7,12,6,16,10,16,12,9,10,14,9,12,6,12,15,7,17,8,8,13,13,15,11,13,12,91,107
,Mason Bennett,Winger,26,8,11,12,11,8,4,10,9,3,3,9,9,9,11,13,10,12,9,10,9,13,11,3,12,6,12,8,13,13,12,13,9,12,12,12,12,106,138
,Ethan Erhahon,Defensive midfielder,22,9,9,10,8,11,9,7,8,5,12,12,9,13,13,14,14,13,11,11,12,11,5,13,9,14,13,11,13,12,11,13,9,11,12,14,14,113,136
,Jacopo Fazzini,Midfielder,20,11,11,13,9,13,8,8,11,8,12,13,8,12,14,10,13,13,12,12,13,12,7,8,14,13,13,14,13,14,14,11,7,10,13,13,11,123,143
,Luke O'Nien,Centre-back,28,7,9,10,10,12,7,14,7,3,12,14,8,13,11,14,14,16,14,13,10,13,9,15,10,14,15,10,15,11,10,11,11,17,11,15,12,123,123
,Lucas Copado,Striker,19,8,8,12,12,13,9,11,8,6,4,11,12,4,13,8,13,10,11,10,9,11,13,4,13,4,11,11,12,13,15,9,10,13,13,11,7,100,120
Loa,Aurel Wagbe,Winger,19,6,10,13,8,10,6,10,8,12,9,10,8,11,11,11,9,12,8,8,8,11,14,3,11,9,11,9,12,13,12,11,14,13,15,12,12,100,130
Inj,Ethan Butera,Promising centre-back,17,5,9,11,5,13,7,12,11,5,12,13,10,12,13,15,13,10,11,11,12,9,5,12,10,12,10,10,10,9,9,10,11,15,10,9,12,99,149
,Alidu Seidu,Centre-back,23,10,11,10,6,11,8,11,9,12,13,10,9,14,11,12,12,15,11,13,12,12,11,10,10,12,12,11,12,14,11,15,11,15,15,14,15,130,146
,Marco Ballarini,Winger,22,9,10,9,10,10,9,10,11,9,9,12,10,9,13,10,12,10,10,10,10,12,11,10,12,10,10,8,8,12,11,13,12,8,12,9,9,91,119
,George Evans,Midfielder,28,10,10,9,9,12,8,12,8,6,12,13,7,10,13,10,13,8,13,13,11,6,7,9,10,13,12,13,10,10,12,11,12,13,12,12,12,109,136
,Thomas Meißner,Experienced centre-back,32,2,5,6,6,9,4,13,6,12,13,10,4,12,9,14,13,12,10,12,11,11,3,12,7,13,13,8,12,9,8,14,15,13,12,11,14,101,125
Wnt,Mikaël Mandron,Nomadic striker,28,5,4,10,10,12,5,11,7,10,5,11,6,6,12,12,12,12,11,9,11,8,9,3,13,5,13,8,14,11,11,12,16,16,11,13,14,99,110
,Liam Grimshaw,Full-back,28,8,8,11,6,10,3,11,7,10,12,8,3,12,9,13,13,15,9,10,11,13,5,13,11,13,17,7,18,9,10,11,10,11,9,12,13,100,106
,Shaun MacDonald,Well-travelled midfielder,35,6,8,10,8,12,9,11,11,7,11,12,9,13,11,10,12,11,11,10,11,11,9,10,11,12,13,10,15,6,8,10,10,10,6,10,10,93,122
Wnt,Dominic Ball,Defensive midfielder,27,5,9,9,8,11,5,13,10,5,13,11,6,14,11,12,13,15,11,13,11,8,4,14,6,14,16,9,15,12,11,13,14,12,11,14,14,111,125
Wnt,David Mateos,Veteran centre-back,36,3,4,5,4,9,3,13,6,6,13,12,4,12,11,11,12,9,10,12,10,12,6,13,5,12,13,10,12,7,8,10,16,9,9,10,11,92,130
,Alexander Winkler,Centre-back,31,9,10,10,8,8,5,12,8,11,12,10,7,12,10,12,8,12,9,9,9,12,6,7,10,10,12,9,12,11,10,10,15,11,11,12,13,96,98
,Jordon Ibe,Winger,27,9,11,13,9,12,5,6,9,3,6,11,8,7,14,9,10,5,12,9,8,5,14,4,12,6,7,13,6,11,9,10,8,5,10,7,9,73,140
,Pau Víctor,Striker,21,9,9,12,13,12,9,11,11,7,7,11,10,7,13,9,10,11,12,9,11,12,14,9,13,7,12,12,11,12,13,12,11,14,13,11,11,110,135
Una,Harry McKirdy,Attacking midfielder,26,9,11,12,12,12,11,3,10,8,5,11,9,6,10,8,11,6,12,6,10,6,14,6,11,8,5,12,7,14,13,8,7,10,14,11,5,100,124
,Connor Mahoney,Winger,26,16,14,11,11,12,16,5,11,4,7,11,10,6,14,7,9,8,12,8,8,9,15,6,9,9,11,13,10,11,10,12,8,10,10,9,8,98,136
FrA,Álex Pérez,Centre-back,31,4,6,9,8,9,8,14,8,6,12,12,10,11,8,10,11,11,12,11,11,8,8,7,7,12,14,8,13,10,10,9,13,13,11,15,14,100,120
Lst,Sam Hutchinson,Experienced midfielder,33,6,7,7,6,10,4,12,4,16,12,11,8,13,11,18,13,17,10,12,8,16,4,16,9,12,15,8,12,8,9,11,12,6,9,12,14,96,140
Inj,Jordan Rossiter,Defensive midfielder,26,9,8,10,8,12,9,8,11,4,12,12,9,14,11,14,11,13,12,11,12,13,9,14,12,12,13,11,12,9,8,12,7,9,9,12,10,96,140
,Quini,Experienced full-back,33,8,12,12,9,11,9,8,10,13,10,11,7,12,12,14,12,15,11,11,11,11,9,9,13,11,14,11,15,13,13,12,9,15,13,13,10,120,125
,Liam Polworth,Midfielder,28,14,9,10,9,12,12,9,11,8,7,13,8,8,12,10,11,7,14,12,12,12,12,8,9,12,8,14,11,9,11,12,8,14,9,12,12,96,107
,Urko González de Zárate,Centre-back,22,9,7,8,5,11,5,12,10,8,12,14,8,15,12,5,12,11,14,6,12,19,7,7,10,15,10,13,12,12,9,11,15,15,9,10,7,110,128
